Unix Timestamp (UTC),Degrees (°C)
1579047627060,23.458000
1579047628061,23.458000
1579047629061,23.458000
1579047630061,23.458000
1579047631061,23.429000
1579047632061,23.458000
1579047633061,23.429000
1579047634061,23.429000
1579047635061,23.429000
1579047636061,23.458000
1579047637061,23.429000
1579047638061,23.458000
1579047639062,23.429000
1579047640062,23.429000
1579047641062,23.429000
1579047642062,23.429000
1579047643062,23.429000
1579047644062,23.458000
1579047645062,23.458000
1579047646062,23.429000
1579047647062,23.458000
1579047648062,23.429000
1579047649063,23.458000
1579047650063,23.429000
1579047651063,23.429000
1579047652063,23.429000
1579047653063,23.458000
1579047654063,23.458000
1579047655063,23.429000
1579047656063,23.429000
1579047657063,23.458000
1579047658063,23.458000
1579047659063,23.429000
1579047660064,23.429000
1579047661064,23.429000
1579047662064,23.458000
1579047663064,23.458000
1579047664064,23.458000
1579047665064,23.429000
1579047666064,23.429000
1579047667064,23.429000
1579047668064,23.458000
1579047669064,23.458000
1579047670065,23.429000
1579047671065,23.458000
1579047672065,23.429000
1579047673065,23.458000
1579047674065,23.429000
1579047675065,23.429000
1579047676065,23.429000
1579047677065,23.429000
1579047678065,23.429000
1579047679065,23.429000
1579047680066,23.458000
1579047681065,23.458000
1579047682065,23.458000
1579047683065,23.458000
1579047684065,23.458000
1579047685065,23.429000
1579047686065,23.458000
1579047687064,23.429000
1579047688064,23.458000
1579047689064,23.429000
1579047690064,23.458000
1579047691064,23.458000
1579047692064,23.429000
1579047693063,23.458000
1579047694063,23.429000
1579047695063,23.458000
1579047696063,23.429000
1579047697063,23.429000
1579047698063,23.458000
1579047699063,23.458000
1579047700062,23.429000
1579047701062,23.429000
1579047702062,23.429000
1579047703062,23.458000
1579047704062,23.429000
1579047705062,23.429000
1579047706061,23.458000
1579047707061,23.429000
1579047708061,23.429000
1579047709061,23.429000
1579047710061,23.458000
1579047711061,23.429000
1579047712061,23.429000
1579047713060,23.429000
1579047714060,23.429000
1579047715060,23.458000
1579047716060,23.429000
1579047717060,23.458000
1579047718060,23.458000
1579047719059,23.429000
1579047720059,23.429000
1579047721059,23.429000
1579047722059,23.429000
1579047723059,23.429000
1579047724059,23.429000
1579047725059,23.429000
1579047726058,23.429000
1579047727058,23.458000
1579047728058,23.458000
1579047729058,23.429000
1579047730058,23.429000
1579047731058,23.429000
1579047732057,23.429000
1579047733057,23.458000
1579047734057,23.458000
1579047735057,23.429000
1579047736057,23.458000
1579047737057,23.458000
1579047738056,23.458000
1579047739056,23.458000
1579047740056,23.429000
1579047741056,23.429000
1579047742056,23.458000
1579047743056,23.429000
1579047744056,23.458000
1579047745055,23.429000
1579047746055,23.458000
1579047747055,23.429000
1579047748055,23.429000
